Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0003,0.0006,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,0.0018,1.9066,0.05,0.05,1.9067,4.8562,4.8569,6.4518,space,1.5737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,6.4556,0.0,8.0888,s,1.618,,10.4063,10.9054,9.9,10.4061,9.0941,88.0,9.8999,10.9056,11.405,11.4051,15.762,1096.0,15.7624,5.0,16.7606,0.0,0.0,0.0,15.0,1.0,0.8,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,16.7609,0.0,16.7627,,,,19.6744,20.1736,19.1679,19.6742,17.7659,158.0,19.1678,20.1736,20.673,20.6731,22.3578,1248.6,22.358,2.0,23.3578,0.0,1.0,1.0,3.0,1.0,1.4,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,23.3585,0.0,23.3586,,,,26.4728,26.9721,25.9665,26.4727,24.3627,157.0,25.9663,26.9721,27.4716,27.4716,30.1272,2212.3,30.1272,5.0,31.1275,0.0,2.0,2.0,9.0,1.0,1.6,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,31.1279,0.0,31.1282,,,,34.0415,34.541,33.5349,34.0414,32.1325,5.0,33.5348,34.541,35.04,35.0401,37.2254,1568.5,37.2256,4.0,38.2243,0.0,3.0,3.0,23.0,1.0,1.4,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,38.2246,0.0,38.2247,,,,40.5415,41.0408,40.0352,40.5415,39.2306,288.0,40.035,41.0409,41.5404,41.5404,42.7127,686.7,42.7129,2.0,43.7117,0.0,4.0,4.0,20.0,1.0,0.8,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,43.712,0.0,43.7122,,,,46.2293,46.7295,45.724,46.2293,44.718,237.0,45.7238,46.7295,47.229,47.229,48.5393,1033.3,48.5395,3.0,49.539,0.0,5.0,5.0,21.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,49.5392,0.0,49.5394,,,,52.0574,52.5567,51.551,52.0573,50.545,235.0,51.5508,52.5567,53.0562,53.0562,54.3117,1005.8,54.3118,3.0,55.3108,0.0,6.0,6.0,16.0,1.0,1.0,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,55.3111,0.0,55.3112,,,,57.6268,58.1273,57.1216,57.6268,56.317,100.0,57.1216,58.1273,58.6269,58.6269,60.174,1269.8,60.1741,5.0,61.1728,0.0,7.0,7.0,5.0,1.0,0.8,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,61.1731,0.0,61.1732,,,,63.6912,64.1906,63.1848,63.6911,62.1777,238.0,63.1847,64.1906,64.69,64.69,66.1383,984.3,66.1385,3.0,67.1388,0.0,8.0,8.0,11.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,67.1391,0.0,67.1392,,,,70.2539,70.7531,69.7473,70.2538,68.1449,40.0,69.7473,70.7532,71.2526,71.2526,73.2594,1556.4,73.2595,3.0,74.2564,0.0,9.0,9.0,14.0,1.0,1.6,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,74.2567,0.0,74.2568,,,,76.976,77.4754,76.4697,76.9759,75.2627,307.0,76.4695,77.4754,77.9749,77.975,79.5766,1290.2,79.5768,4.0,80.5764,0.0,10.0,10.0,17.0,1.0,1.2,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,80.5768,0.0,80.5769,,,,83.2881,83.7882,82.7828,83.2879,81.5814,231.0,82.7827,83.7883,84.2878,84.2879,85.8555,1227.5,85.8556,3.0,86.8544,0.0,11.0,11.0,22.0,1.0,1.2,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,86.8546,0.0,86.8547,,,,89.3729,89.8721,88.8664,89.3727,87.8607,209.0,88.8663,89.8721,90.3715,90.3715,92.0426,1366.5,92.0427,5.0,93.0426,0.0,12.0,12.0,26.0,1.0,1.0,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,93.0428,0.0,93.0429,,,,95.3597,95.8591,94.8534,95.3596,94.0486,248.0,94.8532,95.8591,96.3585,96.3585,97.5091,797.0,97.5093,3.0,98.509,0.0,13.0,13.0,25.0,1.0,0.8,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,98.5093,0.0,98.5094,,,,101.4229,101.9222,100.9166,101.4229,99.5151,300.0,100.9165,101.9222,102.4217,102.4218,104.2625,1446.1,104.2627,3.0,105.259,0.0,14.0,14.0,8.0,1.0,1.4,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,105.2592,0.0,105.2594,,,,107.9786,108.4779,107.4723,107.9785,106.2652,180.0,107.4722,108.4779,108.9773,108.9774,110.4413,1151.3,110.4416,3.0,111.4403,0.0,15.0,15.0,27.0,1.0,1.2,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,111.4407,0.0,111.4408,,,,113.7565,114.2569,113.2501,113.7565,112.4464,103.0,113.25,114.2569,114.7563,114.7564,116.0052,819.2,116.0053,3.0,117.004,0.0,16.0,16.0,0.0,1.0,0.8,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,117.0044,0.0,117.0046,,,,119.3142,119.8134,118.8135,119.3141,118.0087,106.0,118.8134,119.8134,120.3131,120.3131,121.4398,815.3,121.44,3.0,122.4357,0.0,17.0,17.0,10.0,1.0,0.8,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,122.436,0.0,122.436,,,,124.9473,125.4465,124.4465,124.9472,123.442,145.0,124.4465,125.4465,125.9459,125.946,127.6595,1130.7,127.6596,4.0,128.6585,0.0,18.0,18.0,1.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,128.6587,0.0,128.6588,,,,131.7736,132.2727,131.2671,131.7735,129.6646,315.0,131.267,132.2727,132.7723,132.7723,135.1853,1678.4,135.1853,3.0,136.1853,0.0,19.0,19.0,29.0,1.0,1.6,0.7,Time
